stage_id,serial_id,map_id,area_id,is_boss,enemy_id,enemy_level_min,enemy_level_max,enemy_count
10101,1,1,101,0,100101,1,1,1
10102,2,1,101,0,100201,3,4,3
10103,3,1,101,0,100301,6,8,5
10104,4,1,101,1,100401,10,13,1
10201,1,1,102,0,100101,11,11,1
10202,2,1,102,0,100201,13,14,3
10203,3,1,102,0,100301,16,18,5
10204,4,1,102,1,100401,20,23,1
10301,1,1,103,0,100101,21,21,1
10302,2,1,103,0,100201,23,24,3
10303,3,1,103,0,100301,26,28,5
10304,4,1,103,1,100401,30,33,1
10401,1,1,104,0,100101,31,31,1
10402,2,1,104,0,100201,33,34,3
10403,3,1,104,0,100301,36,38,5
10404,4,1,104,1,100401,40,43,1
10501,1,1,105,0,100401,41,41,1
10502,2,1,105,0,100401,43,44,3
10503,3,1,105,0,100401,46,48,5
10504,4,1,105,1,100401,50,53,1
20101,1,2,201,0,100101,51,51,2
20102,2,2,201,0,100201,53,54,3
20103,3,2,201,0,100301,56,58,5
20104,4,2,201,0,100401,60,63,1
20201,1,2,202,0,100101,61,61,2
20202,2,2,202,0,100201,63,64,3
20203,3,2,202,0,100301,66,68,5
20204,4,2,202,0,100401,70,73,1
20301,1,2,203,0,100101,71,71,2
20302,2,2,203,0,100201,73,74,3
20303,3,2,203,0,100301,76,78,5
20304,4,2,203,0,100401,80,83,1
20401,1,2,204,0,100101,81,81,2
20402,2,2,204,0,100201,83,84,3
20403,3,2,204,0,100301,86,88,5
20404,4,2,204,0,100401,90,93,1
20501,1,2,205,0,100401,91,91,2
20502,2,2,205,0,100401,93,94,3
20503,3,2,205,0,100401,96,98,5
20504,4,2,205,0,100401,100,103,1
30101,1,3,301,0,100101,101,101,3
30102,2,3,301,0,100201,103,104,3
30103,3,3,301,0,100301,106,108,5
30104,4,3,301,0,100401,110,113,1
30201,1,3,302,0,100101,111,111,3
30202,2,3,302,0,100201,113,114,3
30203,3,3,302,0,100301,116,118,5
30204,4,3,302,0,100401,120,123,1
30301,1,3,303,0,100101,121,121,3
30302,2,3,303,0,100201,123,124,3
30303,3,3,303,0,100301,126,128,5
30304,4,3,303,0,100401,130,133,1
30401,1,3,304,0,100101,131,131,3
30402,2,3,304,0,100201,133,134,3
30403,3,3,304,0,100301,136,138,5
30404,4,3,304,0,100401,140,143,1
30501,1,3,305,0,100401,141,141,3
30502,2,3,305,0,100401,143,144,3
30503,3,3,305,0,100401,146,148,5
30504,4,3,305,0,100401,150,153,1
